BOROUGH,HOPE Area,Team Number,Needs NYPD?,Hard to Reach,Park,Station,Route,End of Line,Precinct,Training Site,
T,219,14,,,,161 St - Yankee Stadium,B-D,,44,Hostos
T,389,14,,,,161 St - Yankee Stadium,4,,44,Hostos
X,685,12,YES,,,,,,50,Lehman
X,687,13,YES,,,,,,50,Lehman
X,688,14,YES,,,,,,50,Lehman
X,689,13,YES,,,,,,50,Lehman
X,690,13,YES,,,,,,50,Lehman
X,705,14,YES,,,,,,50,Lehman
X,706,14,YES,,,,,,50,Lehman
X,710,5,,,,,,,50,Lehman
X,711,2,,,,,,,50,Lehman
X,712,2,YES,,,,,,50,Lehman
X,714,5,,,,,,,50,Lehman
X,715,6,,,,,,,50,Lehman
X,754,15,YES,,,,,,50,Lehman
X,758,15,YES,,,,,,50,Lehman
X,776,15,,,,,,,50,Lehman
X,781,6,,,,,,,50,Lehman
X,880,HTR,YES,1,,,,,50,Lehman
X,881,HTR,HTR,1,,,,,50,Lehman
T,293,EOL,,,,Van Cortlandt Park - 242 St,1,1,50,Lehman
X,432,4,YES,,,,,,52,Lehman
X,447,4,,,,,,,52,Lehman
X,452,4,,,,,,,52,Lehman
X,454,3,YES,,,,,,52,Lehman
X,455,3,YES,,,,,,52,Lehman
X,561,3,,,,,,,52,Lehman
X,655,9,,,,,,,52,Lehman
X,656,9,,,,,,,52,Lehman
X,658,10,,,,,,,52,Lehman
X,660,10,,,,,,,52,Lehman
X,664,11,,,,,,,52,Lehman
X,717,1,YES,,,,,,52,Lehman
X,721,1,,,,,,,52,Lehman
X,725,1,,,,,,,52,Lehman
X,890,HTR,,1,,,,,52,Lehman
X,894,HTR,,1,,,,,52,Lehman
X,903,8,,,,,,,52,Lehman
X,904,11,,,,,,,52,Lehman
T,378,11,,,,Woodlawn,4,,52,Lehman
T,382,3,,,,Fordham Rd,4,,52,Lehman
X,2,8,YES,,,,,,43,PS/IS194
X,17,9,,,,,,,43,PS/IS194
X,25,8,YES,,,CASTLE HILL,,,43,PS/IS194
X,34,HTR,,1,,,,,43,PS/IS194
X,35,10,,,,,,,43,PS/IS194
X,65,11,YES,,,,,,43,PS/IS194
X,72,11,YES,,,BRONX RIVER,,,43,PS/IS194
X,77,9,,,,,,,43,PS/IS194
X,96,12,,,,,,,43,PS/IS194
X,504,10,,,,,,,43,PS/IS194
X,797,HTR,YES,1,,,,,43,PS/IS194
X,93,12,,,,,,,45,PS/IS194
X,588,5,,,,,,,45,PS/IS194
X,593,5,YES,,,,,,45,PS/IS194
X,615,4,,,,,,,45,PS/IS194
X,634,7,,,,,,,45,PS/IS194
X,635,7,,,,,,,45,PS/IS194
X,637,7,,,,,,,45,PS/IS194
X,638,7,,,,,,,45,PS/IS194
X,649,6,,,,,,,45,PS/IS194
X,828,2,,,,,,,45,PS/IS194
X,832,1,,,,,,,45,PS/IS194
X,838,4,,,,,,,45,PS/IS194
X,839,4,,,,,,,45,PS/IS194
X,843,1,,,,,,,45,PS/IS194
X,858,HTR,YES,1,,,,,45,PS/IS194
X,862,2,YES,,,,,,45,PS/IS194
X,863,2,YES,,,,,,45,PS/IS194
T,360,EOL,,,,Pelham Bay Park,6,1,45,PS/IS194
T,365,12,,,,Castle Hill Av,6,,45,PS/IS194
X,217,2,,,,,,,47,PS16
X,218,2,,,,,,,47,PS16
X,221,4,,,,,,,47,PS16
X,222,4,,,,,,,47,PS16
X,227,2,,,,,,,47,PS16
X,232,3,YES,,,,,,47,PS16
